Epoch,Train Loss,Train Acc,Valid Loss,Valid Acc,Test Loss,Test Acc
0,0.8038062992095947,0.6786,0.6184604156161972,0.7386411354665323,0.5605438961468726,0.7657680356093054
1,0.5174670253276825,0.7921,0.528818421913673,0.7781137146216511,0.4736111362337155,0.8075081884605694
2,0.4903838673591614,0.7988,0.4630923474498016,0.8073402200386327,0.42778950676971494,0.8269925254052238
3,0.48173248767852783,0.8001,0.4508208321418231,0.8142269253380364,0.3991934157628887,0.8398421096833796
4,0.46047145652771,0.8152,0.43924257978753156,0.8195179306290418,0.3923013601851016,0.8456370202401948
5,0.45768058118820193,0.8178,0.4373649322982598,0.8211976148484085,0.3852972265308221,0.8467288149827832
6,0.46645260028839114,0.8094,0.4279130206595813,0.8264886201394138,0.3806958617249093,0.8503401360544217
7,0.45122088317871095,0.8192,0.4329871788059042,0.8219534727471235,0.3792589608286719,0.8492483413118334
8,0.44535452346801757,0.8219,0.44301752577095216,0.8214495674813135,0.3793650180146134,0.8458889728730998
9,0.4609529746055603,0.8157,0.42953633008995795,0.8254808096077937,0.37282154827035396,0.8505081044763585
10,0.46462748289108274,0.8159,0.4361261658084536,0.823801125388427,0.3803694807299616,0.8487444360460233
11,0.4441925280570984,0.8242,0.45471230253328193,0.8156546569244982,0.3848551942417721,0.8458049886621315
12,0.4549852331161499,0.82,0.41981206616999833,0.8277483833039389,0.36698105691892957,0.8525237255395985
13,0.45116668634414675,0.8219,0.44288215189145996,0.8198538674729151,0.37972465588840965,0.8479885781473083
14,0.46051938905715945,0.813,0.42352531970540935,0.8278323675149072,0.3695528359461566,0.8529436465944402
15,0.43362889099121094,0.8242,0.41095874776016095,0.831275720164609,0.3692232484833761,0.8554631729234904
16,0.4361772414207459,0.8222,0.40762854478029986,0.8338792307046275,0.35854265736507496,0.8579826992525406
17,0.44560472745895385,0.8174,0.4126060638788556,0.8304358780549257,0.3567370621419763,0.8591584782060973
18,0.43268892869949344,0.824,0.44648703958479696,0.8166624674561183,0.3805875728017734,0.8454690518182582
19,0.4223271231174469,0.8289,0.41786283533918506,0.8306038464768624,0.3599072976518578,0.8557151255563954
20,0.438467639541626,0.8223,0.3989023009257722,0.8363147728227094,0.35028856385637214,0.866045183505501
